detIndex;capSecuencia;depTipoObjVer;depCodObjVer;depDesCambio;depJusCambio;depOrigen;depDestino;depCodProv;depDevInt
1;578;V;9781;"CAMBIO DE COLA ""QSSDSY01"" A ""QSSPSY01""";NULL;DV812;PD812;NULL;NULL
1;579;O;41012;MIGRACION SEFF DE PLEX 4.5  A ALLFUSION PLEX 6;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\PROY_P8258_SEFF\SEFF60SETUP.EXE;EN LAS UBICACIONES ACTUALES DONDE ESTE INSTALADO SEFF;NULL;NULL
1;580;O;23505;VALIDACION PARA BORRAR CAMPOS EN EL CAMBIO DE CLIENTE;NULL;DV812;PD812;NULL;NULL
1;581;O;40726;CAMBIO EN LAS PROPIEDADES DEL CAMPO DE CANTIDAD DE UNIDADES;NULL;DV812;PD812;NULL;NULL
1;582;O;41187;SCRIPT PARA AUDITORIA - CREA SP QUE GENERA REPORTE DE VENTAS/NC;NULL;DV812;PD812;NULL;NULL
1;583;O;27775;SE CAMBIO CUANDO OBTIENE LA CANTIDAD ADEMÁS DE FILTRAR POR NÚMERO Y TIPO DE DOCUMENTO FILTRE POR CÓDIGO DE ÍTEM LARGO LITM;NULL;DV812;PD812;NULL;NULL
1;584;O;41187;SCRIPT PARA AUDITORIA - CREA SP QUE GENERA REPORTE DE VENTAS/NC;NULL;DV812;PD812;NULL;NULL
1;585;O;22141;NULL;NULL;DV812;PD812;NULL;NULL
1;586;O;41192;MOD.SQL 2005;NULL;DV;PD;NULL;NULL
1;588;O;40756;EL BORRADO DE LA TABLA F5503103 NO SE GENERABA CORRECTAMENTE;NULL;DV812;PD812;NULL;NULL
1;589;O;41176;CALCULO DEL FONDO DE RESERVA SEMANAL;NULL;\\SRBP00CP00\D$\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\ACTUALI_FONDOS_RESERVA_MENSUAL;\\SRBP00DB02\GWSISREY;NULL;NULL
1;590;O;40475;PERMITIR INGRESO DE MULTIPLES ROLLOS LAMINADO;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\CASO_52052\PROPLAEX.EXE;DIRECTORIO DE APP DE PROPLAEX;NULL;NULL
1;591;O;40356;IMPRESION AUTOMATICA DE COMPROBANTES DE RETENCION;NULL;DV812;PD812;NULL;NULL
1;592;V;10132;CAMBIO A LA COLA QMFDSY01;NULL;DV812;PD812;NULL;NULL
1;593;V;9781;"CAMBIO DE COLA ""QSSPSY01"" A ""QBATCH""";NULL;DV812;PD812;NULL;NULL
1;594;O;40788;SE AGREGA EN LA LLAMADA FILTRO POR NUMERO DE DOCUMENTO;NULL;DV812;PD812;NULL;NULL
1;595;V;11633;CAMBIO DE COLA A QMFDSY01 PARA MEJORAR EL PROCESO;NULL;DV812;PD812;NULL;NULL
1;596;O;41191;CAMBIO EN EL PROCESO DE DISTRIBUCION CONTABLE;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\ACTUALI_TICKET_DIST_CONTABLE;\\SRBP00AP01\SPYRAL_PRDCCN_01;NULL;NULL
1;597;O;40787;CAMBIAR EL NÚMERO DE REGISTROS QUE SE PUEDEN IMPRIMIR POR PÁGINA DE 23 A 21;NULL;DV812;PD812;NULL;NULL
1;599;O;40736;COPIA DE SP QUE YA ESTA IMPLEMENTADO EN ECUADOR;NULL;\\SRBP00AP03\PASEVERSION\PASE HECM-2009-0059.ZIP;"BASE JDE_PRODUCTION; SERVIDOR SRBP00PS02";NULL;NULL
1;600;V;5199;CAMBIO DE COLA A QINTERF;NULL;DV812;PD812;NULL;NULL
1;601;O;41193;OBJETO REPORTE NUEVO QUE REEMPLAZA A LA VERSION R5541014|Z5541010;NULL;DV812;PD812;NULL;NULL
1;602;O;41199;NUEVO;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\PRINTQUEUEMONITOR_P7394;SERVIDOR SRBP00AP03;NULL;NULL
1;603;O;41200;CREACION DE TABLA TEMPORAL;NULL;\\E3SIS017\TICKET CLIENTES;BASE JDE_PRODUCTION;NULL;NULL
1;604;V;15118;NUEVA VERSION REPLICA COSTOS, PRECIOS;NULL;DV812;PD812;NULL;NULL
1;605;O;41204;ACTUALIZACION DE DATOS FIJOS LIBRO DE DIRECCIONES;NULL;\\E3SIS017\TICKET CLIENTES;BASE JDE_PRODUCTION;NULL;NULL
1;606;O;41183;AGREGAR ZONA,NOMBRE Y FECHAS AL REPORTE;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\PASE_52586\JAW_RPT_PERSONAL_ABANDONO_DE_TRABAJO.SQL;SERVIDOR SRBPOODB02 BASE GWSISREY;NULL;NULL
1;607;O;41200;CREACION DE TABLA TEMPORAL;NULL;\\E3SIS017\TICKET CLIENTES;BASE JDE_PRODUCTION;NULL;NULL
1;608;O;40783;DESHABILITAR EL BOTON GENERAR DOCUMENTOS;NULL;DV812;PD812;NULL;NULL
1;609;O;41209;ESSU JK18440;NULL;DV812;PD812;NULL;NULL
1;610;V;4317;SE MODIFICO LA DESCRIPCION DE LA VERSION;NULL;DV812;PD812;NULL;NULL
1;611;V;10233;AÑADIR EN SELECCION DE DATOS;NULL;DV812;PD812;NULL;NULL
1;612;V;9962;ELIMINAR ESPACIOS ENTRE LOS ITEMS EN EL REPORTE;NULL;DV812;PD812;NULL;NULL
1;613;O;40797;COMTABILIZACION DEL FONDO DE RESERVA DISTRIBUIDO A LAS CUENTAS DE LAS LABORES;NULL;\\SRBP00CP00\D$\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\ACTUALI_CONTABILIZA_FR_T52694;\\SRBP00DB02\GWSISREY;NULL;NULL
1;614;O;40926;NUEVA OPCION EN MENU SAFF DE QUITAR STATUS;NULL;\\E3SIS063\PASES\CASO_46883\SAFF60SETUP.EXE;ICA SAFF CENTRAL;NULL;NULL
1;615;O;41216;CAMBIO AL RECEPCIONAR MAESTRO JAW;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\CASO_46646\TRANS_SP_RECEPTA_MAESTRO_JAW.SQL;SERVIDORES HACIENDAS BASE GWMONITOR;NULL;NULL
1;616;O;25913;SE AGREGA PARA PASAR LA VERSION;NULL;DV812;PD812;NULL;NULL
1;617;V;15122;NUEVA VERSION PARA FORMATO EXCEL;NULL;DV812;PD812;NULL;NULL
1;618;O;27037;NULL;NULL;DV812;PD812;NULL;NULL
1;619;O;41211;CAMBIO PARA MANEJO ESPECIAL DE PAGO;NULL;DV812;PD812;NULL;NULL
1;620;O;41221;ACTUALIZACION DE DATOS FIJOS PARA CLIENTES DE PREVENTAS;NULL;\\E3SIS017\TICKET CLIENTES;SERVIDOR SRBP00EODB BASE JDE_PRODUCTION;NULL;NULL
1;621;O;23505;CAMBIO PARA GRABAR EL CARRIER NUMBER;NULL;DV812;PD812;NULL;NULL
1;622;O;41158;SE INCLUYE PARA PASAR LA VERSION;NULL;DV812;PD812;NULL;NULL
1;623;O;40773;ARREGLO DE VALIDACION DE LOGO INACTIVO;NULL;DV812;PD812;NULL;NULL
1;624;O;40611;SE AGRANDO LA VARIBLE DEL TAX Y SE INGRESO UNA VALIDACION PARA EL MISMO;NULL;DV812;PD812;NULL;NULL
1;625;O;40921;CAMBIO EN SELECCION DE DATOS;NULL;DV812;PD812;NULL;NULL
1;626;O;41116;SE CAMBIO EL SP PARA QUE AL CRUZAR LA F0411 Y F0018, EN EL CASO DE LAS ANULACIONES SOLO LO HAGA CON LOS REGISTROS EN NEGATIVO, YA QUE ASI SE IMPEDIRA QUE SE DUPLIQUEN LOS REGISTROS EN EL QUERY UTILIZADO POR EL ANEXO DE COMPRAS. EN LA F0018 CUANDO SE ANULA EL REGISTRO SE REPITE PERO SE DIFERENCIA POR SU VALOR EN NEGATIVO;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\ANEXOSTRANSACCIONALESSRI\T53038;JDE_DEVELOPMENT;NULL;NULL
1;627;O;40787;VALIDAR EL SIGNO DE TODOS LOS ITEM DE LA ORDEN Y CAMPO OSEQ;NULL;DV812;PD812;NULL;NULL
1;628;O;27346;CONSIDERAR EN EL REPORTE REVERSOS DE SU;NULL;DV812;PD812;NULL;NULL
1;629;O;41222;CONSULTAR SEMANAS A PROCESAR;NULL;\\E3SIS017\PASEREPORTE\NEF\SEMANA_MONITOREO.JSP;\\SRBP00WF01\APACHE SOFTWARE FOUNDATION\TOMCAT 5.5\WEBAPPS\NEF\JSP;NULL;NULL
1;631;O;41199;CAMBIO PARA GUARDAR COMPROBANTES DE RETENCION;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\C52910_GAVELLAN\PRINTQUEUEMONITOR;SERVIDOR SRBP00AP03;NULL;NULL
1;632;O;41066;NUEVA BASE DE DATOS DE ALMACEN TEMPORAL. CONTIENE NUEVAS ESTRUCTURAS  Y NUEVOS DATOS PRECONFIGURADOS NECESARIOS PARA LA NUEVA VERSION;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\ALMACENTEMPORAL\EKSAT_V20090918\DATABASE\EKSAT.BAK;SRBP00DB03;NULL;NULL
1;633;V;15022;CAMBIO EN OP PARA PROCESAR MES ACTUAL Y ANTERIOR;NULL;DV812;PD812;NULL;NULL
1;634;O;24085;NULL;NULL;DV812;PD812;NULL;NULL
1;635;V;15126;VERSION NUEVA,SELECCION DE DATOS;NULL;DV812;PD812;NULL;NULL
1;636;V;10163;MODIF.SELECCION DE DATOS;NULL;DV812;PD812;NULL;NULL
1;644;O;24085;NULL;NULL;DV812;PD812;NULL;NULL
1;645;O;24085;NULL;NULL;DV812;PD812;NULL;NULL
1;646;O;27706;SE REALIZO CAMBIO PARA CONSIDERAR MONEDA EXTRANJERA;NULL;DV812;PD812;NULL;NULL
1;647;O;40427;DESENCRIPTACION DE CLAVE DE JDE;NULL;E3EVIR012;ICA / MAQUINA USUARIO CESAR HERRERA;NULL;NULL
1;648;O;40902;ENVIO DE DOC A LA COPIA DE LA FACTURA;NULL;DV812;PD812;NULL;NULL
1;650;O;40921;SELECCION DE COMISIONISTAS CONFIGURADOS COMO RBP PLASTICOS;NULL;DV812;PD812;NULL;NULL
1;651;O;41093;LECTURA DE FACTURAS COBRADAS POSTERIOR A FUSION;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\FUSION AGR RBP_TESORERIA_IMP\COMISIONES;ICA DE SIREM;NULL;NULL
