appSecuencia;appDecripcion;appUsuario;appFecha;appEstado
92;EKSAT - EIKON SISTEMA PARA FERTISA;55;2013-04-10 16:12:00;1
93;SKAN - WEB SIGATOKA;52;2013-06-19 17:01:00;1
94;IMPRESION DE ETIQUETAS PTI;33;2013-11-21 11:22:00;1
95;INTERFACE DE INTERESES DE PRESTAMOS;7;2013-12-11 10:32:00;1
96;PORTAL COMPROBANTES-E;33;2014-05-05 09:55:00;1
97;SITIO WEB WWW.MY-FAVORITA.COM;30;2014-06-17 10:57:00;1
98;FILENET;14;2014-07-30 15:05:00;1
99;BAPLIE;59;2014-08-04 16:29:00;1
100;FIRMA ELECTRÓNICA;49;2014-12-02 09:41:00;1
101;BASCULA FERTISA;59;2014-12-04 17:00:00;1
102;Recepcion_edocs;15;2015-03-16 08:43:00;1
103;DEPURADOR DE CORREOS;61;2015-03-17 17:20:00;1
104;Sitio web reybanpac.com;49;2015-07-30 15:32:00;1
105;DINARDAP;14;2015-07-31 11:52:00;1
106;SCP SISTEMA DE CONTROL DE PESAJE DE CAJAS BANDEJAS Y RACIMOS;61;2015-08-21 09:48:00;1
107;SITIOS WEB;15;2015-09-15 17:07:00;1
108;MONITOREO DE SIGATOKA NEGRA;59;2015-10-21 16:19:00;1
109;TABLEROS SMARTVIEW;59;2015-12-07 12:32:00;1
110;WORKFLOW CAMUNDA;67;2016-03-29 12:04:00;1
111;SCRIPT INSERTA OPCIONES SEGURIDAD;67;2016-04-01 09:27:00;0
112;N4;69;2016-04-21 16:41:00;0
113;NAVIS N4;69;2016-04-21 16:51:00;1
114;NAVIS N4 - BASCULA;69;2016-04-21 16:51:00;1
115;NAVIS N4 - ADUANA;69;2016-04-21 16:52:00;1
116;NAVIS N4 - JDE;64;2016-05-17 08:57:00;1
117;CONSOLIDADOR GANADERIA;14;2016-05-17 16:54:00;1
118;REPORTING SERVICES;59;2016-09-06 17:15:00;1
119;SITIO WEB EXPOPLAST;15;2016-10-28 14:12:00;1
120;SERVICIO SFTP;14;2016-11-15 12:59:00;1
121;SCRIPTS BASE DE DATOS;59;2016-12-19 11:48:00;1
122;NAVIS N4 - PORTAL WEB;69;2017-01-23 10:15:00;1
123;Epagos Confidence Suite (EIKON);49;2017-01-27 14:35:00;1
124;SPE SISTEMA DE PESAJE EN EMPACADORA;15;2017-02-21 17:55:00;1
125;SISTEMA EVOLUTION;7;2017-03-14 15:14:00;0
126;EVOLUTION;7;2017-03-14 15:15:00;1
127;NAVIS N4 - FTP;69;2017-05-15 11:56:00;1
128;ONLYCONTROL;7;2017-06-26 14:37:00;0
129;ONLYCONTROL;7;2017-06-26 14:37:00;1
130;DAIRYCOMP DC305;64;2017-08-02 11:22:00;1
131;RECEPCIÓN CORPORATIVA COMP_ELECT;49;2017-12-21 09:03:00;1
132;QLIKSENSE;25;2018-03-23 15:12:00;0
133;QLIKSENSE;25;2018-03-23 15:15:00;1
134;TABLEROS LACTEOS QLIKSENSE;25;2018-09-11 15:25:00;1
135;GSA GESTOR DE SEGURIDAD ACCESOS;64;2018-09-12 11:11:00;1
136;ACR GESTOR Y ANALISIS DE CREDITO;64;2018-10-04 09:31:00;1
137;ASW Autorizador de servicios web;49;2018-11-16 09:11:00;1
138;SAM;14;2018-11-16 10:31:00;1
139;Interfaz ASW POS-EO;49;2018-11-28 10:59:00;1
144;RFGEN;49;2019-02-15 12:11:00;1
145;REGISTRO LABORES EMP.;25;2019-03-26 16:31:00;1
146;MARKET FORCE;64;2019-05-08 11:45:00;1
147;RP3 PUNTOS DE VENTA FISAS - AGIF;59;2019-05-29 17:09:00;1
148;MAGIC MONITOR;67;2019-09-20 14:17:00;0
149;MAGIC STUDIO;67;2019-09-20 14:18:00;1
150;MAGIC MONITOR;67;2019-09-20 14:19:00;1
151;PROYECTO MAGIC;67;2019-09-20 14:20:00;1
152;RPA SRI DESCARGA;49;2019-11-25 14:08:00;1
153;AUTOMATION ANYWHERE;49;2019-12-05 10:45:00;1
154;EXPOPLAST FLOW;25;2019-12-20 15:16:00;1
155;PRECITAS;15;2020-07-16 15:42:00;1
156;MAGIC XPI (PLATAF. INTEGRAC.);49;2021-03-04 08:00:00;1
157;P17020 PLANIFICACION RP3;77;2021-04-13 18:24:00;1
158;PLANIFICACION SERVICE OPTIMIZER;77;2021-05-22 21:47:00;1
159;HERRAMIENTA DE ADMINISTRACIÓN DE INVENTARIO DE VEHÍCULOS Y WORKFLOW;80;2021-05-30 23:13:00;1
160;SGI PLATAFORMA TRAZABILIDAD DE BANANO;14;2021-07-12 10:42:00;1
161;SISTEMA DE INFORMACIÓN DE PRODUCCIÓN DE PALMA;80;2021-08-19 09:33:00;1
162;POWER BI;81;2021-08-26 16:47:00;1
163;PORTAL WEB TERMINAL FERTISA;78;2021-08-27 11:24:00;1
164;Proactivanet;79;2021-11-09 17:22:00;0
165;Proactivanet;79;2021-11-09 17:23:00;1
166;ROADSHOW SALES & TERRITORY PLANNER;78;2021-12-28 08:48:00;1
167;MOBILVENDOR;15;2022-04-08 10:28:00;1
168;RCBATCH;14;2022-05-31 10:31:00;1
169;P21021 Nuevos Reportes Graneles Navis 2.6;77;2022-09-12 11:24:00;1
170;VISITA DE CLIENTES N4;77;2022-09-27 18:10:00;1
171;P20013 TMS AUTOMATICO SFTP;86;2022-11-24 15:03:00;0
172;P20013 TMS AUTOMATIZACION SFTP;86;2022-11-24 15:18:00;1
173;P21030 MEJORAS AL MÓDULO DE TELEFONÍA CELULAR;80;2022-12-14 16:17:00;1
174;Administración de contratos de seguros;48;2023-01-09 11:00:00;1
175;Automatización de Informe de Gestión Gerencial;15;2023-03-30 13:45:00;1
176;BASCULAS;77;2023-10-12 15:44:00;1
177;SIEMENS WinCC Unified;49;2023-10-13 09:48:00;1
178;prueba;1;2023-12-23 13:49:00;0
179;test;0;2023-12-23 03:22:00;0
180;string;0;2023-12-23 03:22:00;0
181;test 3;0;2023-12-23 13:50:00;0
182;Pase de version;1;2023-12-26 12:21:00;1
183;PRUEBA 2;15;2024-02-05 11:39:00;1
184;Planificación1;77;2024-01-17 17:14:00;0
1184;Facturero;77;2024-04-05 12:26:00;0
